Period,CPI-IW (Base 2016),WPI Material (Base 2011-12),WPI Fuel (Base 2011-12)
INDX092020,118.1,122.9,91.9
INDX102020,119.5,123.6,90.9
INDX112020,119.9,125.1,94.2
INDX122020,118.8,125.4,96.9
INDX012021,118.2,126.5,100.7
INDX022021,119.0,128.1,105.7
INDX032021,119.6,129.9,109.2
INDX042021,120.1,132.0,108.9
INDX052021,120.6,132.9,109.8
INDX062021,121.7,133.7,110.7
INDX072021,122.8,135.0,115.2
INDX082021,123.0,136.2,117.9
INDX092021,123.3,137.4,119.0
INDX102021,124.9,140.7,126.0
INDX112021,125.7,143.7,136.0
INDX122021,125.4,143.3,133.8
INDX012022,125.1,143.8,135.3
INDX022022,125.0,145.3,138.3
INDX032022,126.0,148.9,143.9
INDX042022,127.7,152.3,151.2
INDX052022,129.0,155.0,163.6
INDX062022,129.2,155.4,167.1
INDX072022,129.9,154.0,166.6
INDX082022,130.2,153.2,159.2
INDX092022,131.3,151.9,158.4
INDX102022,132.5,152.9,158.0
INDX112022,132.5,152.5,162.8
INDX122022,132.3,150.5,158.0
INDX012023,132.8,150.7,155.6
INDX022023,132.7,150.9,157.6
INDX032023,133.3,151.0,156.4
INDX042023,134.2,151.1,152.7
INDX052023,134.7,149.4,148.6
INDX062023,136.4,148.9,146.2
INDX072023,139.7,152.1,145.4
INDX082023,139.2,152.5,149.1
INDX092023,137.5,151.8,153.1
INDX102023,138.4,152.5,155.5
INDX112023,139.1,153.1,156.2
INDX122023,138.8,151.8,155.8
INDX012024,138.9,151.2,154.9
INDX022024,139.2,151.2,154.9
INDX032024,138.9,151.4,152.1
INDX042024,139.4,152.9,151.4
INDX052024,139.9,153.5,150.1
INDX062024,141.4,154.0,146.9
INDX072024,142.7,155.3,148.2
INDX082024,142.6,154.4,148.3
INDX092024,143.3,154.7,147.2
INDX102024,144.5,156.7,148.8
INDX112024,144.5,156.4,149.9
INDX122024,143.7,155.7,151.8
INDX012025,143.2,155.0,152.0
INDX022025,142.8,154.9,153.4
INDX032025,143.0,154.8,152.1
INDX042025,143.5,154.2,145.7
INDX052025,144.0,153.7,142.9
INDX062025,145.0,153.7,142.3
INDX072025,146.5,154.4,143.7
INDX082025,147.1,155.2,143.5
INDX092025,147.3,155.0,143.4
INDX102025,147.7,155.1,145.2
INDX112025,148.2,156.2,146.4
INDX122025,148.2,157.2,148.3
INDX012026,148.6,157.6,145.9
INDX022026,148.5,158.4,147.5
INDX032026,149.1,161.2,153.4
INDX042026,149.9,167.0,181.7
